year,commodity,acres_planted,acres_harvested,production,yield,price_per_bushel
1866,Corn,,30.02,730.81,24.3,
1867,Corn,,32.12,793.91,24.7,
1868,Corn,,35.12,919.59,26.2,
1869,Corn,,35.83,782.08,21.8,
1870,Corn,,38.39,"1,124.78",29.3,
1871,Corn,,42,"1,141.72",27.2,
1872,Corn,,43.58,"1,279.37",29.4,
1873,Corn,,44.08,"1,008.33",22.9,
1874,Corn,,47.64,"1,058.78",22.2,
1875,Corn,,52.45,"1,450.28",27.7,
1876,Corn,,55.28,"1,478.17",26.7,
1877,Corn,,58.8,"1,515.86",25.8,
1878,Corn,,59.66,"1,564.54",26.2,
1879,Corn,,62.23,"1,751.98",28.2,
1880,Corn,,62.55,"1,706.67",27.3,
1881,Corn,,63.03,"1,244.80",19.8,
1882,Corn,,66.16,"1,755.27",26.5,
1883,Corn,,68.17,"1,652.15",24.2,
1884,Corn,,68.83,"1,947.84",28.3,
1885,Corn,,71.85,"2,057.81",28.6,
1886,Corn,,73.91,"1,782.77",24.1,
1887,Corn,,73.3,"1,604.55",21.9,
1888,Corn,,77.47,"2,250.63",29.1,
1889,Corn,,77.66,"2,294.29",29.5,
1890,Corn,,74.79,"1,650.45",22.1,
1891,Corn,,78.86,"2,335.80",29.6,
1892,Corn,,76.91,"1,897.41",24.7,
1893,Corn,,79.83,"1,900.40",23.8,
1894,Corn,,80.07,"1,615.02",20.2,
1895,Corn,,90.48,"2,534.76",28,
1896,Corn,,89.07,"2,671.05",30,
1897,Corn,,89.97,"2,287.63",25.4,
1898,Corn,,87.78,"2,351.32",26.8,
1899,Corn,,94.59,"2,645.80",28,
1900,Corn,,94.85,"2,661.98",28.1,
1901,Corn,,94.42,"1,715.75",18.2,
1902,Corn,,97.18,"2,773.95",28.5,
1903,Corn,,93.56,"2,515.09",26.9,
1904,Corn,,95.23,"2,686.62",28.2,
1905,Corn,,95.75,"2,954.15",30.9,
1906,Corn,,95.62,"3,032.91",31.7,
1907,Corn,,96.09,"2,613.80",27.2,
1908,Corn,,95.29,"2,566.74",26.9,
1909,Corn,,100.2,"2,611.16",26.1,
1910,Corn,,102.27,"2,852.79",27.9,
1911,Corn,,101.39,"2,474.64",24.4,
1912,Corn,,101.45,"2,947.84",29.1,
1913,Corn,,100.21,"2,272.54",22.7,
1914,Corn,,97.8,"2,523.75",25.8,
1915,Corn,,100.62,"2,829.04",28.1,
1916,Corn,,100.56,"2,425.21",24.1,
1917,Corn,,110.89,"2,908.24",26.2,
1918,Corn,,102.2,"2,441.25",23.9,
1919,Corn,,87.49,"2,341.87",26.8,
1920,Corn,,90.15,"2,695.09",29.9,
1921,Corn,,91.94,"2,556.92",27.8,
1922,Corn,,84.86,"2,229.50",26.3,
1923,Corn,,87.49,"2,429.55",27.8,
1924,Corn,,84.12,"1,860.11",22.1,
1925,Corn,,86.83,"2,382.29",27.4,
1926,Corn,99.66,83.28,"2,140.21",25.7,
1927,Corn,98.46,83.92,"2,218.19",26.4,
1928,Corn,100.4,85.83,"2,260.99",26.3,
1929,Corn,99.13,83.19,"2,135.04",25.7,
1930,Corn,103.92,85.53,"1,757.30",20.5,
1931,Corn,109.36,91.13,"2,229.90",24.5,
1932,Corn,113.02,97.21,"2,578.69",26.5,
1933,Corn,109.83,92.13,"2,104.73",22.8,
1934,Corn,100.56,61.25,"1,146.73",18.7,
1935,Corn,99.97,82.55,"2,001.37",24.2,
1936,Corn,101.96,67.83,"1,258.67",18.6,
1937,Corn,97.17,81.22,"2,349.43",28.9,
1938,Corn,94.47,82.79,"2,300.10",27.8,
1939,Corn,91.64,78.31,"2,341.60",29.9,
1940,Corn,88.69,76.44,"2,206.88",28.9,
1941,Corn,86.84,77.4,"2,414.45",31.2,
1942,Corn,88.82,79.21,"2,801.82",35.4,
1943,Corn,94.34,81.91,"2,668.49",32.6,
1944,Corn,95.48,85,"2,801.61",33,
1945,Corn,89.26,77.93,"2,577.45",33.1,
1946,Corn,88.9,78.41,"2,916.09",37.2,
1947,Corn,85.04,73.8,"2,108.32",28.6,
1948,Corn,85.52,76.84,"3,307.04",43,
1949,Corn,86.74,77.11,"2,946.21",38.2,
1950,Corn,82.86,72.4,"2,764.07",38.2,1.47
1951,Corn,83.28,71.19,"2,628.94",36.9,
1952,Corn,82.23,71.35,"2,980.79",41.8,1.6
1953,Corn,81.57,70.74,"2,881.80",40.7,1.6
1954,Corn,82.19,68.67,"2,707.91",39.4,1.62
1955,Corn,80.93,68.46,"2,872.96",42,1.58
1956,Corn,77.83,64.88,"3,075.34",47.4,1.5
1957,Corn,73.18,63.07,"3,045.36",48.3,1.4
1958,Corn,73.35,63.55,"3,356.21",52.8,1.36
1959,Corn,82.74,72.09,"3,824.60",53.1,1.12
1960,Corn,81.43,71.42,"3,906.95",54.7,1.06
1961,Corn,65.92,57.63,"3,597.80",62.4,1.2
1962,Corn,65.02,55.73,"3,606.31",64.7,1.2
1963,Corn,68.77,59.23,"4,019.24",67.9,1.07
1964,Corn,65.82,55.37,"3,484.25",62.9,1.1
1965,Corn,65.17,55.39,"4,102.87",74.1,1.05
1966,Corn,66.35,57,"4,167.61",73.1,1
1967,Corn,71.16,60.69,"4,860.37",80.1,1.05
1968,Corn,65.13,55.98,"4,449.54",79.5,1.05
1969,Corn,64.26,54.57,"4,687.06",85.9,1.05
1970,Corn,66.86,57.36,"4,152.24",72.4,1.05
1971,Corn,74.18,64.12,"5,646.26",88.1,1.05
1972,Corn,67.13,57.51,"5,579.83",97,1.05
1973,Corn,72.25,62.14,"5,670.71",91.3,1.05
1974,Corn,77.94,65.41,"4,701.40",71.9,1.1
1975,Corn,78.72,67.63,"5,840.76",86.4,1.1
1976,Corn,84.59,71.51,"6,289.17",88,1.5
1977,Corn,84.33,71.61,"6,505.04",90.8,2
1978,Corn,81.68,71.93,"7,267.93",101,2
1979,Corn,81.39,72.4,"7,928.14",109.5,2.1
1980,Corn,84.04,72.96,"6,639.40",91,2.25
1981,Corn,84.1,74.52,"8,118.65",108.9,2.4
1982,Corn,81.86,72.72,"8,235.10",113.2,2.55
1983,Corn,60.21,51.48,"4,174.25",81.1,2.65
1984,Corn,80.52,71.9,"7,672.13",106.7,2.55
1985,Corn,83.4,75.21,"8,875.45",118,2.55
1986,Corn,76.58,68.91,"8,225.76",119.4,1.92
1987,Corn,66.2,59.51,"7,131.30",119.8,1.82
1988,Corn,67.72,58.25,"4,928.68",84.6,1.77
